euphemisms for death (based on an analogy between lying in a bed and in a tomb)	they had to put their family pet to sleep	8	sleep	the way something is with respect to its main attributes	his state of health	1	state	1
euphemisms for death (based on an analogy between lying in a bed and in a tomb)	they had to put their family pet to sleep	8	sleep	the way something is with respect to its main attributes	the current state of knowledge	2	state	1
euphemisms for death (based on an analogy between lying in a bed and in a tomb)	they had to put their family pet to sleep	8	sleep	the way something is with respect to its main attributes	in a weak financial state	4	state	1
euphemisms for death (based on an analogy between lying in a bed and in a tomb)	they had to put their family pet to sleep	8	sleep	the absence of life or state of being dead	he seemed more content in death than he had ever been in life	5	death	1
a natural and periodic state of rest during which consciousness of the world is suspended	he didn ' t get enough sleep last night	6	sleep	a state at a particular time	a condition ( or state ) of disrepair	1	condition	1
an increase in cost	they asked for a 10 % rise in rates	6	rise	the relative magnitude of something with reference to a criterion	an adequate amount of food for four people	2	amount	1
an increase in cost	they asked for a 10 % rise in rates	6	rise	the amount by which something increases	they proposed an increase of 15 percent in the fare	3	increase	1
an upward slope or grade (as in a road)	the car couldn ' t make it up the rise	9	rise	an elevated geological formation	he climbed the steep slope	4	slope	1
a body of creative artists or writers or thinkers linked by a similar style or by similar teachers	the venetian school of painting	2	school	a group of persons associated by some common tie or occupation and regarded as an entity	administrative body	1	body	1
a body of creative artists or writers or thinkers linked by a similar style or by similar teachers	the venetian school of painting	2	school	a group of persons associated by some common tie or occupation and regarded as an entity	the whole body filed out of the auditorium	2	body	1
a body of creative artists or writers or thinkers linked by a similar style or by similar teachers	the venetian school of painting	2	school	a group of persons associated by some common tie or occupation and regarded as an entity	the student body	2	body	1
the process of being formally educated at a school	what will you do when you finish school ?	7	school	the gradual process of acquiring knowledge	a girl ' s education was less important than a boy ' s	4	education	1
the process of being formally educated at a school	what will you do when you finish school ?	7	school	the gradual process of acquiring knowledge	education is a preparation for life	0	education	1
a building where young people receive education	he walked to school every morning	3	school	a structure that has a roof and walls and stands more or less permanently in one place	there was a three - story building on the corner	6	building	1
a building where young people receive education	the school was built in 1932	1	school	a thing constructed; a complex entity constructed of many parts	the structure consisted of a series of arches	1	structure	1
a building where young people receive education	he walked to school every morning	3	school	a thing constructed; a complex entity constructed of many parts	the structure consisted of a series of arches	1	structure	1
a building where young people receive education	the school was built in 1932	1	school	a structure that has a roof and walls and stands more or less permanently in one place	there was a three - story building on the corner	6	building	1
the successful action of solving a problem	the solution took three hours	1	solution	an attainment that is successful	his new play was a great success	6	success	1
the successful action of solving a problem	the solution took three hours	1	solution	an attainment that is successful	his success in the marathon was unexpected	1	success	1
the successful action of solving a problem	the solution took three hours	1	solution	the act of achieving an aim	the attainment of independence	1	attainment	1
a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution	he used a solution of peroxide and water	3	solution	the real physical matter of which a person or thing consists	dna is the substance of our genes	3	substance	1
a statement that solves a problem or explains how to solve the problem	they were trying to find a peaceful solution	7	solution	a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc	according to his statement he was in london on that day	3	statement	1
the state of being suitable or opportune	chairs arranged for his own convenience	5	convenience	a state at a particular time	a condition ( or state ) of disrepair	1	condition	1
